timestamp,date,open,high,low,close,volume
1574640000,2019-11-25 00:00:00,146.0,157.4,125.03,150.65,1165627.748
1575244800,2019-12-02 00:00:00,150.72,156.25,142.96,150.41,2851587.609
1575849600,2019-12-09 00:00:00,142.83,142.87,142.74,142.76,158.649
1576454400,2019-12-16 00:00:00,142.46,142.63,115.95,132.14,3817069.804
1577059200,2019-12-23 00:00:00,132.18,138.25,122.0,134.28,4043150.016
1577664000,2019-12-30 00:00:00,134.22,138.17,125.78,135.33,4460135.428
1578268800,2020-01-06 00:00:00,135.32,148.03,134.82,146.57,6594275.014
1578873600,2020-01-13 00:00:00,146.57,179.57,142.32,167.04,7412937.363
1579478400,2020-01-20 00:00:00,167.04,171.61,155.72,167.9,2638645.104
1580083200,2020-01-27 00:00:00,167.98,193.7,165.28,188.59,4105265.33
1580688000,2020-02-03 00:00:00,188.64,230.9,184.71,228.64,6537887.48
1581292800,2020-02-10 00:00:00,228.71,289.0,217.32,258.87,12650635.958
1581897600,2020-02-17 00:00:00,258.87,286.7,242.32,274.67,9989490.654
1582502400,2020-02-24 00:00:00,274.66,277.26,210.01,218.01,13262383.775
1583107200,2020-03-02 00:00:00,218.01,251.8,195.35,199.54,11413628.572
1583712000,2020-03-09 00:00:00,199.54,323.0,84.23,123.89,25367395.637
1584316800,2020-03-16 00:00:00,123.87,152.68,100.11,122.25,16144653.379
1584921600,2020-03-23 00:00:00,122.27,143.44,119.0,124.4,9422526.509
1585526400,2020-03-30 00:00:00,124.42,149.97,123.93,142.59,7987689.487
1586131200,2020-04-06 00:00:00,142.59,176.16,142.51,158.72,13859124.23
1586736000,2020-04-13 00:00:00,158.69,189.68,148.07,179.97,13384326.037
1587340800,2020-04-20 00:00:00,179.96,199.99,166.6,197.46,17724672.179
1587945600,2020-04-27 00:00:00,197.46,227.5,189.51,209.95,17209816.661
1588550400,2020-05-04 00:00:00,209.94,216.95,177.89,187.52,14667034.508
1589155200,2020-05-11 00:00:00,187.48,210.16,175.5,206.93,10384538.164
1589760000,2020-05-18 00:00:00,206.9,217.2,191.61,199.7,9915814.374
1590364800,2020-05-25 00:00:00,199.7,247.85,196.68,231.55,10271947.961
1590969600,2020-06-01 00:00:00,231.55,254.48,220.0,244.66,10472984.484
1591574400,2020-06-08 00:00:00,244.67,251.0,225.33,231.92,7324232.225
1592179200,2020-06-15 00:00:00,231.92,237.5,218.02,228.08,6816272.104
1592784000,2020-06-22 00:00:00,228.07,249.41,213.59,224.96,8764883.311
1593388800,2020-06-29 00:00:00,224.93,232.78,221.11,227.61,6026274.928
1593993600,2020-07-06 00:00:00,227.61,249.0,226.89,242.82,7392496.831
1594598400,2020-07-13 00:00:00,242.82,245.56,229.84,239.19,4998211.107
1595203200,2020-07-20 00:00:00,239.18,321.99,234.0,311.41,15741917.838
1595808000,2020-07-27 00:00:00,311.36,418.49,302.0,372.85,25115312.983
1596412800,2020-08-03 00:00:00,372.86,407.88,361.27,390.54,15139211.567
1597017600,2020-08-10 00:00:00,390.54,445.66,366.05,434.19,15183278.368
1597622400,2020-08-17 00:00:00,434.19,449.0,380.0,391.0,11392219.784
1598227200,2020-08-24 00:00:00,391.0,430.28,370.14,429.11,10586467.605
1598832000,2020-08-31 00:00:00,429.12,489.32,307.36,352.69,27299674.753
1599436800,2020-09-07 00:00:00,352.62,390.45,323.02,366.24,16493384.209
1600041600,2020-09-14 00:00:00,366.24,394.07,354.75,370.85,12748249.266
1600646400,2020-09-21 00:00:00,370.86,377.2,312.36,357.4,15631376.642
1601251200,2020-09-28 00:00:00,357.29,370.44,334.01,352.23,10353675.996
1601856000,2020-10-05 00:00:00,352.15,378.7,332.22,374.39,9278686.298
1602460800,2020-10-12 00:00:00,374.39,395.43,360.53,378.29,10301902.131
1603065600,2020-10-19 00:00:00,378.28,421.9,364.9,406.14,14113635.721
1603670400,2020-10-26 00:00:00,406.14,411.18,373.03,396.82,15202752.886
1604275200,2020-11-02 00:00:00,396.9,469.74,370.0,454.75,24695061.092
1604880000,2020-11-09 00:00:00,454.74,479.0,433.76,448.16,20069600.179
1605484800,2020-11-16 00:00:00,448.16,582.93,445.53,560.42,30711379.205
1606089600,2020-11-23 00:00:00,560.41,624.65,480.12,576.38,36433095.305
1606694400,2020-11-30 00:00:00,576.38,638.66,558.0,601.86,25537475.779
1607299200,2020-12-07 00:00:00,601.86,603.63,531.0,590.91,17658676.044
1607904000,2020-12-14 00:00:00,590.92,678.2,575.57,638.27,22323074.097
1608508800,2020-12-21 00:00:00,638.25,718.75,546.81,685.97,26765575.023
1609113600,2020-12-28 00:00:00,685.97,1022.51,681.91,980.24,31681003.05
1609718400,2021-01-04 00:00:00,980.23,1354.66,890.0,1257.96,49409948.361
1610323200,2021-01-11 00:00:00,1257.95,1296.79,915.2,1233.71,37275965.695
1610928000,2021-01-18 00:00:00,1233.61,1444.05,1041.13,1394.24,33680324.39
1611532800,2021-01-25 00:00:00,1394.23,1481.46,1206.0,1313.12,28213476.782
1612137600,2021-02-01 00:00:00,1313.09,1767.19,1270.0,1611.99,27328142.582
1612742400,2021-02-08 00:00:00,1612.0,1878.88,1566.22,1803.59,19777332.127
1613347200,2021-02-15 00:00:00,1804.0,2048.0,1652.0,1934.75,17820657.304
1613952000,2021-02-22 00:00:00,1934.59,1938.5,1292.8,1419.77,29131724.723
1614556800,2021-03-01 00:00:00,1419.96,1736.89,1411.1,1727.23,20216388.043
1615161600,2021-03-08 00:00:00,1727.73,1948.75,1667.86,1850.54,20198480.653
1615766400,2021-03-15 00:00:00,1850.5,1896.3,1712.0,1784.67,14689480.314
1616371200,2021-03-22 00:00:00,1784.78,1809.59,1540.22,1688.3,13259246.603
1616976000,2021-03-29 00:00:00,1688.31,2150.0,1680.04,2077.73,15941107.933
1617580800,2021-04-05 00:00:00,2077.85,2211.94,1930.1,2155.05,13648331.994
1618185600,2021-04-12 00:00:00,2155.07,2553.0,1900.0,2235.32,19781406.424
1618790400,2021-04-19 00:00:00,2235.32,2645.63,2052.42,2320.71,30426205.122
1619395200,2021-04-26 00:00:00,2320.71,2986.97,2303.42,2950.98,19132169.072
1620000000,2021-05-03 00:00:00,2950.91,3985.55,2950.7,3928.01,27511371.852
1620604800,2021-05-10 00:00:00,3927.83,4379.18,3348.0,3581.39,29835705.706
1621209600,2021-05-17 00:00:00,3581.39,3587.0,1400.73,2096.63,44233277.182
1621814400,2021-05-24 00:00:00,2096.62,2913.0,2079.0,2386.11,31374415.113
1622419200,2021-05-31 00:00:00,2386.11,2892.23,2271.46,2711.4,25511461.146
1623024000,2021-06-07 00:00:00,2711.3,2849.65,2255.42,2508.71,28304166.267
1623628800,2021-06-14 00:00:00,2508.56,2639.99,2038.94,2242.7,21529078.08
1624233600,2021-06-21 00:00:00,2242.7,2259.27,1698.64,1980.83,36176378.395
1624838400,2021-06-28 00:00:00,1981.0,2390.0,1960.31,2321.95,28435579.692
1625443200,2021-07-05 00:00:00,2322.13,2410.0,2045.0,2140.27,25086824.639
1626048000,2021-07-12 00:00:00,2140.26,2167.95,1841.0,1890.66,25066713.181
1626652800,2021-07-19 00:00:00,1890.8,2198.0,1715.0,2188.11,25825767.677
1627257600,2021-07-26 00:00:00,2188.15,2699.0,2150.0,2554.71,25529109.521
