timestamp,date,open,high,low,close,volume
1709305200,2024-03-01 15:00:00,3419.57,3432.00,3380.00,3393.63,174864.603
1709308800,2024-03-01 16:00:00,3393.63,3406.66,3383.52,3390.30,103599.117
1709312400,2024-03-01 17:00:00,3390.31,3429.22,3390.30,3423.33,126802.518
1709316000,2024-03-01 18:00:00,3423.32,3437.99,3413.44,3435.55,70229.399
1709319600,2024-03-01 19:00:00,3435.56,3439.49,3421.90,3431.14,46574.499
1709323200,2024-03-01 20:00:00,3431.15,3456.00,3424.30,3447.46,88295.611
1709326800,2024-03-01 21:00:00,3447.46,3452.86,3426.75,3429.75,85212.379
1709330400,2024-03-01 22:00:00,3429.75,3441.89,3427.16,3436.57,36049.079
1709334000,2024-03-01 23:00:00,3436.58,3452.53,3431.01,3435.82,46401.384
1709337600,2024-03-02 00:00:00,3435.83,3464.96,3430.12,3462.62,93642.908
1709341200,2024-03-02 01:00:00,3462.62,3463.44,3428.12,3446.57,79498.443
1709344800,2024-03-02 02:00:00,3446.57,3450.53,3432.08,3440.91,46016.918
1709348400,2024-03-02 03:00:00,3440.92,3447.99,3431.50,3445.79,54326.865
1709352000,2024-03-02 04:00:00,3445.80,3448.98,3430.01,3430.32,43472.021
1709355600,2024-03-02 05:00:00,3430.33,3434.24,3390.00,3422.69,124180.038
1709359200,2024-03-02 06:00:00,3422.68,3475.00,3418.29,3440.95,112536.963
1709362800,2024-03-02 07:00:00,3440.94,3445.00,3425.72,3433.71,56728.417
1709366400,2024-03-02 08:00:00,3433.71,3439.65,3408.05,3421.76,74897.729
1709370000,2024-03-02 09:00:00,3421.75,3427.00,3397.12,3407.47,81445.972
1709373600,2024-03-02 10:00:00,3407.48,3419.50,3405.38,3411.30,41884.869
1709377200,2024-03-02 11:00:00,3411.30,3420.86,3406.99,3407.88,35505.772
1709380800,2024-03-02 12:00:00,3407.87,3432.00,3407.11,3424.81,49540.068
1709384400,2024-03-02 13:00:00,3424.80,3428.30,3412.60,3413.65,39896.191
