id,test_loss,train_rate,time_step,neuron,dropout_rate,optimizer,patience,epoch,batch_size,activation,kernel_regularizer,loss_function,predictions
1,0.00015347005682997406,0.75,24,50,0.2,adam,7,100,25,tanh,0.01,mean_squared_error,"[3451.594482421875, 3454.04296875, 3454.796142578125, 3453.8623046875, 3454.57470703125, 3451.339599609375, 3449.895263671875, 3452.35693359375, 3452.337890625, 3447.45556640625, 3446.29931640625, 3446.587890625, 3443.596923828125, 3443.228271484375, 3440.705810546875, 3436.806640625, 3438.62548828125, 3441.9345703125, 3441.098876953125, 3442.52197265625, 3439.326416015625, 3440.591552734375, 3442.900146484375, 3442.595947265625]"
3,0.00016462907660752535,0.75,24,50,0.2,adam,7,100,50,tanh,0.01,mean_squared_error,"[3414.844970703125, 3416.528564453125, 3412.657470703125, 3412.46923828125, 3411.769775390625, 3413.816162109375, 3412.121826171875, 3409.503173828125, 3406.955078125, 3404.0771484375, 3406.988525390625, 3409.069091796875, 3407.234619140625, 3406.638671875, 3406.527587890625, 3417.261474609375, 3413.7431640625, 3409.499267578125, 3406.58154296875, 3402.61328125, 3402.62548828125, 3400.28759765625, 3394.35888671875, 3395.447265625]"
2,0.0004936460172757506,0.75,24,50,0.2,adam,7,100,25,sigmoid,0.01,mean_squared_error,"[3344.162841796875, 3333.863037109375, 3335.3046875, 3331.566162109375, 3327.615234375, 3327.66845703125, 3326.212158203125, 3328.38134765625, 3328.914306640625, 3332.266845703125, 3330.096923828125, 3331.03369140625, 3330.353759765625, 3329.748046875, 3336.374755859375, 3337.763427734375, 3343.0419921875, 3338.583251953125, 3339.79296875, 3338.576416015625, 3327.810302734375, 3325.047607421875, 3321.41552734375, 3319.654052734375]"
4,0.000518124841619283,0.75,24,50,0.2,adam,7,100,50,sigmoid,0.01,mean_squared_error,"[3324.0634765625, 3321.916259765625, 3319.49072265625, 3317.4990234375, 3320.027099609375, 3323.04296875, 3321.563232421875, 3324.73095703125, 3321.308837890625, 3320.65478515625, 3321.16162109375, 3319.929931640625, 3322.946044921875, 3318.333251953125, 3319.284912109375, 3320.914306640625, 3324.373779296875, 3322.0126953125, 3319.516357421875, 3318.2529296875, 3319.203369140625, 3318.65087890625, 3317.37060546875, 3317.364990234375]"
